match_sk,match_id,team1,team2,match_date,season_year,venue_name,city_name,country_name,toss_winner,match_winner,toss_name,win_type,outcome_type,manofmach,win_margin,country_id,match_date_cleaned
0,335987,Royal Challengers Bangalore,Kolkata Knight Riders,4/18/2008,2008,M Chinnaswamy Stadium,Bangalore,India,Royal Challengers Bangalore,Kolkata Knight Riders,Field,Runs,Result,Bb Mccullum,140,1,2008-04-18
1,335988,Kings Xi Punjab,Chennai Super Kings,4/19/2008,2008,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Chennai Super Kings,Chennai Super Kings,Bat,Runs,Result,Mek Hussey,33,1,2008-04-19
2,335989,Delhi Daredevils,Rajasthan Royals,4/19/2008,2008,Feroz Shah Kotla,Delhi,India,Rajasthan Royals,Delhi Daredevils,Bat,Wickets,Result,Mf Maharoof,9,1,2008-04-19
3,335990,Mumbai Indians,Royal Challengers Bangalore,4/20/2008,2008,Wankhede Stadium,Mumbai,India,Mumbai Indians,Royal Challengers Bangalore,Bat,Wickets,Result,Mv Boucher,5,1,2008-04-20
4,335991,Kolkata Knight Riders,Deccan Chargers,4/20/2008,2008,Eden Gardens,Kolkata,India,Deccan Chargers,Kolkata Knight Riders,Bat,Wickets,Result,Dj Hussey,5,1,2008-04-20
5,335992,Rajasthan Royals,Kings Xi Punjab,4/21/2008,2008,Sawai Mansingh Stadium,Jaipur,India,Kings Xi Punjab,Rajasthan Royals,Bat,Wickets,Result,Sr Watson,6,1,2008-04-21
6,335993,Deccan Chargers,Delhi Daredevils,4/22/2008,2008,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Deccan Chargers,Delhi Daredevils,Bat,Wickets,Result,V Sehwag,9,1,2008-04-22
7,335994,Chennai Super Kings,Mumbai Indians,4/23/2008,2008,"Ma Chidambaram Stadium, Chepauk",Chennai,India,Mumbai Indians,Chennai Super Kings,Field,Runs,Result,Ml Hayden,6,1,2008-04-23
8,335995,Deccan Chargers,Rajasthan Royals,4/24/2008,2008,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Rajasthan Royals,Rajasthan Royals,Field,Wickets,Result,Yk Pathan,3,1,2008-04-24
9,335996,Kings Xi Punjab,Mumbai Indians,4/25/2008,2008,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Mumbai Indians,Kings Xi Punjab,Field,Runs,Result,Kc Sangakkara,66,1,2008-04-25
10,335997,Royal Challengers Bangalore,Rajasthan Royals,4/26/2008,2008,M Chinnaswamy Stadium,Bangalore,India,Rajasthan Royals,Rajasthan Royals,Field,Wickets,Result,Sr Watson,7,1,2008-04-26
11,335998,Chennai Super Kings,Kolkata Knight Riders,4/26/2008,2008,"Ma Chidambaram Stadium, Chepauk",Chennai,India,Kolkata Knight Riders,Chennai Super Kings,Bat,Wickets,Result,Jdp Oram,9,1,2008-04-26
12,335999,Mumbai Indians,Deccan Chargers,4/27/2008,2008,Dr Dy Patil Sports Academy,Mumbai,India,Deccan Chargers,Deccan Chargers,Field,Wickets,Result,Ac Gilchrist,10,1,2008-04-27
13,336000,Kings Xi Punjab,Delhi Daredevils,4/27/2008,2008,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Delhi Daredevils,Kings Xi Punjab,Bat,Wickets,Result,Sm Katich,4,1,2008-04-27
14,336001,Royal Challengers Bangalore,Chennai Super Kings,4/28/2008,2008,M Chinnaswamy Stadium,Bangalore,India,Chennai Super Kings,Chennai Super Kings,Bat,Runs,Result,Ms Dhoni,13,1,2008-04-28
