player_sk,player_id,player_name,dob,batting_hand,bowling_skill,country_name,dob_cleaned
0,1,Sc Ganguly,7/8/1972,Left-hand Bat,Right-arm Medium,India,1972-07-08
1,2,Bb Mccullum,9/27/1981,Right-hand Bat,Right-arm Medium,New Zealand,1981-09-27
2,3,Rt Ponting,12/19/1974,Right-hand Bat,Right-arm Medium,Australia,1974-12-19
3,4,Dj Hussey,7/15/1977,Right-hand Bat,Right-arm Offbreak,Australia,1977-07-15
4,5,Mohammad Hafeez,10/17/1980,Right-hand Bat,Right-arm Offbreak,Pakistan,1980-10-17
5,6,R Dravid,1/11/1973,Right-hand Bat,Right-arm Offbreak,India,1973-01-11
6,7,W Jaffer,2/16/1978,Right-hand Bat,Right-arm Offbreak,India,1978-02-16
7,8,V Kohli,11/5/1988,Right-hand Bat,Right-arm Medium,India,1988-11-05
8,9,Jh Kallis,10/16/1975,Right-hand Bat,Right-arm Fast-medium,South Africa,1975-10-16
9,10,Cl White,8/18/1983,Right-hand Bat,Legbreak Googly,Australia,1983-08-18
10,11,Mv Boucher,12/3/1976,Right-hand Bat,Right-arm Medium,South Africa,1976-12-03
11,12,B Akhil,10/7/1977,Right-hand Bat,Right-arm Medium-fast,India,1977-10-07
12,13,Aa Noffke,4/30/1977,Right-hand Bat,Right-arm Fast-medium,Australia,1977-04-30
13,14,P Kumar,10/2/1986,Right-hand Bat,Right-arm Medium,India,1986-10-02
14,15,Z Khan,10/7/1978,Right-hand Bat,Left-arm Fast-medium,India,1978-10-07
15,16,Sb Joshi,6/6/1970,Left-hand Bat,Slow Left-arm Orthodox,India,1970-06-06
16,17,Pa Patel,3/9/1985,Left-hand Bat,N/a,India,1985-03-09
17,18,Ml Hayden,10/29/1971,Left-hand Bat,Right-arm Medium,Australia,1971-10-29
18,19,Mek Hussey,5/27/1975,Left-hand Bat,Right-arm Medium,Australia,1975-05-27
19,20,Ms Dhoni,7/7/1981,Right-hand Bat,Right-arm Medium,India,1981-07-07
20,21,Sk Raina,11/27/1986,Left-hand Bat,Right-arm Offbreak,India,1986-11-27
21,22,Jdp Oram,7/28/1978,Left-hand Bat,Right-arm Fast-medium,New Zealand,1978-07-28
22,23,S Badrinath,8/30/1980,Right-hand Bat,Right-arm Offbreak,India,1980-08-30
23,24,K Goel,12/24/1986,Left-hand Bat,Right-arm Offbreak,India,1986-12-24
24,25,Jr Hopes,10/24/1978,Right-hand Bat,Right-arm Medium,Australia,1978-10-24
25,26,Kc Sangakkara,10/27/1977,Left-hand Bat,Right-arm Offbreak,Sri Lanka,1977-10-27
26,27,Yuvraj Singh,12/12/1981,Left-hand Bat,Slow Left-arm Orthodox,India,1981-12-12
27,28,Sm Katich,8/21/1975,Left-hand Bat,Slow Left-arm Chinaman,Australia,1975-08-21
28,29,Ik Pathan,10/27/1984,Left-hand Bat,Left-arm Medium-fast,India,1984-10-27
29,30,T Kohli,12/17/1988,Right-hand Bat,Right-arm Medium,India,1988-12-17
30,31,Yk Pathan,11/17/1982,Right-hand Bat,Right-arm Offbreak,India,1982-11-17
31,32,Sr Watson,6/17/1981,Right-hand Bat,Right-arm Fast-medium,Australia,1981-06-17
32,33,M Kaif,12/1/1980,Right-hand Bat,Right-arm Offbreak,India,1980-12-01
33,34,Ds Lehmann,2/5/1970,Left-hand Bat,Slow Left-arm Orthodox,Australia,1970-02-05
34,35,Ra Jadeja,12/6/1988,Left-hand Bat,Slow Left-arm Orthodox,India,1988-12-06
35,36,M Rawat,10/25/1985,Right-hand Bat,N/a,India,1985-10-25
36,37,D Salunkhe,11/12/1982,Right-hand Bat,Legbreak,India,1982-11-12
37,38,Sk Warne,9/13/1969,Right-hand Bat,Legbreak Googly,Australia,1969-09-13
38,39,Sk Trivedi,9/4/1982,Right-hand Bat,Right-arm Medium,India,1982-09-04
39,40,G Gambhir,10/14/1981,Left-hand Bat,Legbreak,India,1981-10-14
40,41,V Sehwag,10/20/1978,Right-hand Bat,Right-arm Offbreak,India,1978-10-20
41,42,S Dhawan,12/5/1985,Left-hand Bat,Right-arm Offbreak,India,1985-12-05
42,43,L Ronchi,4/23/1981,Right-hand Bat,N/a,Australia,1981-04-23
43,44,St Jayasuriya,6/30/1969,Left-hand Bat,Slow Left-arm Orthodox,Sri Lanka,1969-06-30
44,45,Dj Thornely,10/1/1978,Right-hand Bat,Right-arm Medium,Australia,1978-10-01
45,46,Rv Uthappa,11/11/1985,Right-hand Bat,Right-arm Medium,India,1985-11-11
