player_sk,player_id,player_name,dob,batting_hand,bowling_skill,country_name,dob_cleaned
0,1,Sc Ganguly,,Left-hand Bat,Right-arm Medium,India,
1,2,Bb Mccullum,,Right-hand Bat,Right-arm Medium,New Zealand,
2,3,Rt Ponting,,Right-hand Bat,Right-arm Medium,Australia,
3,4,Dj Hussey,,Right-hand Bat,Right-arm Offbreak,Australia,
4,5,Mohammad Hafeez,,Right-hand Bat,Right-arm Offbreak,Pakistan,
5,6,R Dravid,,Right-hand Bat,Right-arm Offbreak,India,
6,7,W Jaffer,,Right-hand Bat,Right-arm Offbreak,India,
7,8,V Kohli,,Right-hand Bat,Right-arm Medium,India,
8,9,Jh Kallis,,Right-hand Bat,Right-arm Fast-medium,South Africa,
9,10,Cl White,,Right-hand Bat,Legbreak Googly,Australia,
10,11,Mv Boucher,,Right-hand Bat,Right-arm Medium,South Africa,
11,12,B Akhil,,Right-hand Bat,Right-arm Medium-fast,India,
12,13,Aa Noffke,,Right-hand Bat,Right-arm Fast-medium,Australia,
13,14,P Kumar,,Right-hand Bat,Right-arm Medium,India,
14,15,Z Khan,,Right-hand Bat,Left-arm Fast-medium,India,
15,16,Sb Joshi,,Left-hand Bat,Slow Left-arm Orthodox,India,
16,17,Pa Patel,,Left-hand Bat,N/a,India,
17,18,Ml Hayden,,Left-hand Bat,Right-arm Medium,Australia,
18,19,Mek Hussey,,Left-hand Bat,Right-arm Medium,Australia,
19,20,Ms Dhoni,,Right-hand Bat,Right-arm Medium,India,
20,21,Sk Raina,,Left-hand Bat,Right-arm Offbreak,India,
21,22,Jdp Oram,,Left-hand Bat,Right-arm Fast-medium,New Zealand,
22,23,S Badrinath,,Right-hand Bat,Right-arm Offbreak,India,
23,24,K Goel,,Left-hand Bat,Right-arm Offbreak,India,
24,25,Jr Hopes,,Right-hand Bat,Right-arm Medium,Australia,
25,26,Kc Sangakkara,,Left-hand Bat,Right-arm Offbreak,Sri Lanka,
26,27,Yuvraj Singh,,Left-hand Bat,Slow Left-arm Orthodox,India,
27,28,Sm Katich,,Left-hand Bat,Slow Left-arm Chinaman,Australia,
28,29,Ik Pathan,,Left-hand Bat,Left-arm Medium-fast,India,
29,30,T Kohli,,Right-hand Bat,Right-arm Medium,India,
30,31,Yk Pathan,,Right-hand Bat,Right-arm Offbreak,India,
31,32,Sr Watson,,Right-hand Bat,Right-arm Fast-medium,Australia,
32,33,M Kaif,,Right-hand Bat,Right-arm Offbreak,India,
33,34,Ds Lehmann,,Left-hand Bat,Slow Left-arm Orthodox,Australia,
34,35,Ra Jadeja,,Left-hand Bat,Slow Left-arm Orthodox,India,
35,36,M Rawat,,Right-hand Bat,N/a,India,
36,37,D Salunkhe,,Right-hand Bat,Legbreak,India,
37,38,Sk Warne,,Right-hand Bat,Legbreak Googly,Australia,
