player_match_sk,playermatch_key,match_id,player_id,player_name,dob,batting_hand,bowling_skill,country_name,role_desc,player_team,opposit_team,season_year,is_manofthematch,age_as_on_match,isplayers_team_won,batting_status,bowling_status,player_captain,opposit_captain,player_keeper,opposit_keeper,dob_cleaned
-1,-1.0000000000,-1,-1,N/a,,Blank,Blank,Blank,Blank,Blank,Blank,,,,,Blank,Blank,Blank,Blank,Blank,Blank,
12694,,335987,6,R Dravid,1/11/1973,Right-hand Bat,Right-arm Offbreak,India,Captain,Royal Challengers Bangalore,Kolkata Knight Riders,2008,,35,,Blank,Blank,R Dravid,Sc Ganguly,Mv Boucher,Wp Saha,1973-01-11
12702,,335987,14,P Kumar,10/2/1986,Right-hand Bat,Right-arm Medium,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,,22,,Blank,Blank,R Dravid,Sc Ganguly,Mv Boucher,Wp Saha,1986-10-02
12704,,335987,16,Sb Joshi,6/6/1970,Left-hand Bat,Slow Left-arm Orthodox,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,,38,,Blank,Blank,R Dravid,Sc Ganguly,Mv Boucher,Wp Saha,1970-06-06
12705,,335987,1,Sc Ganguly,7/8/1972,Left-hand Bat,Right-arm Medium,India,Captain,Kolkata Knight Riders,Royal Challengers Bangalore,2008,,36,,Blank,Blank,Sc Ganguly,R Dravid,Wp Saha,Mv Boucher,1972-07-08
12706,,335987,2,Bb Mccullum,9/27/1981,Right-hand Bat,Right-arm Medium,New Zealand,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,,27,,Blank,Blank,Sc Ganguly,R Dravid,Wp Saha,Mv Boucher,1981-09-27
12708,,335987,4,Dj Hussey,7/15/1977,Right-hand Bat,Right-arm Offbreak,Australia,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,,31,,Blank,Blank,Sc Ganguly,R Dravid,Wp Saha,Mv Boucher,1977-07-15
12709,,335987,5,Mohammad Hafeez,10/17/1980,Right-hand Bat,Right-arm Offbreak,Pakistan,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,,28,,Blank,Blank,Sc Ganguly,R Dravid,Wp Saha,Mv Boucher,1980-10-17
12711,,335987,63,Lr Shukla,5/6/1981,Right-hand Bat,Right-arm Medium,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,,27,,Blank,Blank,Sc Ganguly,R Dravid,Wp Saha,Mv Boucher,1981-05-06
12712,,335987,82,Ab Agarkar,12/4/1977,Right-hand Bat,Right-arm Fast,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,,31,,Blank,Blank,Sc Ganguly,R Dravid,Wp Saha,Mv Boucher,1977-12-04
12713,,335987,83,M Kartik,9/11/1976,Left-hand Bat,Slow Left-arm Orthodox,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,,32,,Blank,Blank,Sc Ganguly,R Dravid,Wp Saha,Mv Boucher,1976-09-11
12715,,335987,106,Ab Dinda,3/25/1984,Right-hand Bat,Right-arm Medium-fast,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,,24,,Blank,Blank,Sc Ganguly,R Dravid,Wp Saha,Mv Boucher,1984-03-25
12717,,335988,25,Jr Hopes,10/24/1978,Right-hand Bat,Right-arm Medium,Australia,Player,Kings Xi Punjab,Chennai Super Kings,2008,,30,,Blank,Blank,Yuvraj Singh,Ms Dhoni,Kc Sangakkara,Ms Dhoni,1978-10-24
12719,,335988,27,Yuvraj Singh,12/12/1981,Left-hand Bat,Slow Left-arm Orthodox,India,Captain,Kings Xi Punjab,Chennai Super Kings,2008,,27,,Blank,Blank,Yuvraj Singh,Ms Dhoni,Kc Sangakkara,Ms Dhoni,1981-12-12
12722,,335988,66,B Lee,11/8/1976,Right-hand Bat,Right-arm Fast,Australia,Player,Kings Xi Punjab,Chennai Super Kings,2008,,32,,Blank,Blank,Yuvraj Singh,Ms Dhoni,Kc Sangakkara,Ms Dhoni,1976-11-08
12723,,335988,67,Pp Chawla,12/24/1988,Left-hand Bat,Legbreak,India,Player,Kings Xi Punjab,Chennai Super Kings,2008,,20,,Blank,Blank,Yuvraj Singh,Ms Dhoni,Kc Sangakkara,Ms Dhoni,1988-12-24
12725,,335988,77,S Sreesanth,2/6/1983,Right-hand Bat,Right-arm Fast-medium,India,Player,Kings Xi Punjab,Chennai Super Kings,2008,,25,,Blank,Blank,Yuvraj Singh,Ms Dhoni,Kc Sangakkara,Ms Dhoni,1983-02-06
12727,,335988,17,Pa Patel,3/9/1985,Left-hand Bat,N/a,India,Player,Chennai Super Kings,Kings Xi Punjab,2008,,23,,Blank,Blank,Ms Dhoni,Yuvraj Singh,Ms Dhoni,Kc Sangakkara,1985-03-09
12729,,335988,19,Mek Hussey,5/27/1975,Left-hand Bat,Right-arm Medium,Australia,Player,Chennai Super Kings,Kings Xi Punjab,2008,,33,,Blank,Blank,Ms Dhoni,Yuvraj Singh,Ms Dhoni,Kc Sangakkara,1975-05-27
12731,,335988,21,Sk Raina,11/27/1986,Left-hand Bat,Right-arm Offbreak,India,Player,Chennai Super Kings,Kings Xi Punjab,2008,,22,,Blank,Blank,Ms Dhoni,Yuvraj Singh,Ms Dhoni,Kc Sangakkara,1986-11-27
12737,,335988,435,P Amarnath,6/1/1982,Right-hand Bat,Right-arm Medium,India,Player,Chennai Super Kings,Kings Xi Punjab,2008,,26,,Blank,Blank,Ms Dhoni,Yuvraj Singh,Ms Dhoni,Kc Sangakkara,1982-06-01
