player_match_sk,playermatch_key,match_id,player_id,player_name,dob,batting_hand,bowling_skill,country_name,role_desc,player_team,opposit_team,season_year,is_manofthematch,age_as_on_match,isplayers_team_won,batting_status,bowling_status,player_captain,opposit_captain,player_keeper,opposit_keeper,dob_cleaned
-1,-1.0000000000,-1,-1,N/a,,Blank,Blank,Blank,Blank,Blank,Blank,,,,,Blank,Blank,Blank,Blank,Blank,Blank,
12694,,335987,6,R Dravid,,Right-hand Bat,Right-arm Offbreak,India,Captain,Royal Challengers Bangalore,Kolkata Knight Riders,2008,,35,,Blank,Blank,R Dravid,Sc Ganguly,Mv Boucher,Wp Saha,
12697,,335987,9,Jh Kallis,,Right-hand Bat,Right-arm Fast-medium,South Africa,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,,33,,Blank,Blank,R Dravid,Sc Ganguly,Mv Boucher,Wp Saha,
12702,,335987,14,P Kumar,,Right-hand Bat,Right-arm Medium,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,,22,,Blank,Blank,R Dravid,Sc Ganguly,Mv Boucher,Wp Saha,
12704,,335987,16,Sb Joshi,,Left-hand Bat,Slow Left-arm Orthodox,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,,38,,Blank,Blank,R Dravid,Sc Ganguly,Mv Boucher,Wp Saha,
12705,,335987,1,Sc Ganguly,,Left-hand Bat,Right-arm Medium,India,Captain,Kolkata Knight Riders,Royal Challengers Bangalore,2008,,36,,Blank,Blank,Sc Ganguly,R Dravid,Wp Saha,Mv Boucher,
12706,,335987,2,Bb Mccullum,,Right-hand Bat,Right-arm Medium,New Zealand,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,,27,,Blank,Blank,Sc Ganguly,R Dravid,Wp Saha,Mv Boucher,
12708,,335987,4,Dj Hussey,,Right-hand Bat,Right-arm Offbreak,Australia,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,,31,,Blank,Blank,Sc Ganguly,R Dravid,Wp Saha,Mv Boucher,
12709,,335987,5,Mohammad Hafeez,,Right-hand Bat,Right-arm Offbreak,Pakistan,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,,28,,Blank,Blank,Sc Ganguly,R Dravid,Wp Saha,Mv Boucher,
12711,,335987,63,Lr Shukla,,Right-hand Bat,Right-arm Medium,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,,27,,Blank,Blank,Sc Ganguly,R Dravid,Wp Saha,Mv Boucher,
12712,,335987,82,Ab Agarkar,,Right-hand Bat,Right-arm Fast,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,,31,,Blank,Blank,Sc Ganguly,R Dravid,Wp Saha,Mv Boucher,
12713,,335987,83,M Kartik,,Left-hand Bat,Slow Left-arm Orthodox,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,,32,,Blank,Blank,Sc Ganguly,R Dravid,Wp Saha,Mv Boucher,
12715,,335987,106,Ab Dinda,,Right-hand Bat,Right-arm Medium-fast,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,,24,,Blank,Blank,Sc Ganguly,R Dravid,Wp Saha,Mv Boucher,
12717,,335988,25,Jr Hopes,,Right-hand Bat,Right-arm Medium,Australia,Player,Kings Xi Punjab,Chennai Super Kings,2008,,30,,Blank,Blank,Yuvraj Singh,Ms Dhoni,Kc Sangakkara,Ms Dhoni,
12719,,335988,27,Yuvraj Singh,,Left-hand Bat,Slow Left-arm Orthodox,India,Captain,Kings Xi Punjab,Chennai Super Kings,2008,,27,,Blank,Blank,Yuvraj Singh,Ms Dhoni,Kc Sangakkara,Ms Dhoni,
