player_match_sk,playermatch_key,match_id,player_id,player_name,dob,batting_hand,bowling_skill,country_name,role_desc,player_team,opposit_team,season_year,is_manofthematch,age_as_on_match,isplayers_team_won,batting_status,bowling_status,player_captain,opposit_captain,player_keeper,opposit_keeper,dob_cleaned
12697,33598700009,335987,9,Jh Kallis,10/16/1975,Right-hand Bat,Right-arm Fast-medium,South Africa,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,33,0,Blank,Blank,R Dravid,Sc Ganguly,Mv Boucher,Wp Saha,1975-10-16
12699,33598700011,335987,11,Mv Boucher,12/3/1976,Right-hand Bat,Right-arm Medium,South Africa,Keeper,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,32,0,Blank,Blank,R Dravid,Sc Ganguly,Mv Boucher,Wp Saha,1976-12-03
12704,33598700016,335987,16,Sb Joshi,6/6/1970,Left-hand Bat,Slow Left-arm Orthodox,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,38,0,Blank,Blank,R Dravid,Sc Ganguly,Mv Boucher,Wp Saha,1970-06-06
12708,33598700004,335987,4,Dj Hussey,7/15/1977,Right-hand Bat,Right-arm Offbreak,Australia,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,0,31,1,Blank,Blank,Sc Ganguly,R Dravid,Wp Saha,Mv Boucher,1977-07-15
12711,33598700063,335987,63,Lr Shukla,5/6/1981,Right-hand Bat,Right-arm Medium,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,0,27,1,Blank,Blank,Sc Ganguly,R Dravid,Wp Saha,Mv Boucher,1981-05-06
12720,33598800028,335988,28,Sm Katich,8/21/1975,Left-hand Bat,Slow Left-arm Chinaman,Australia,Player,Kings Xi Punjab,Chennai Super Kings,2008,0,33,0,Blank,Blank,Yuvraj Singh,Ms Dhoni,Kc Sangakkara,Ms Dhoni,1975-08-21
12724,33598800068,335988,68,Wa Mota,9/20/1981,Right-hand Bat,Right-arm Medium,India,Player,Kings Xi Punjab,Chennai Super Kings,2008,0,27,0,Blank,Blank,Yuvraj Singh,Ms Dhoni,Kc Sangakkara,Ms Dhoni,1981-09-20
12727,33598800017,335988,17,Pa Patel,3/9/1985,Left-hand Bat,N/a,India,Player,Chennai Super Kings,Kings Xi Punjab,2008,0,23,1,Blank,Blank,Ms Dhoni,Yuvraj Singh,Ms Dhoni,Kc Sangakkara,1985-03-09
12731,33598800021,335988,21,Sk Raina,11/27/1986,Left-hand Bat,Right-arm Offbreak,India,Player,Chennai Super Kings,Kings Xi Punjab,2008,0,22,1,Blank,Blank,Ms Dhoni,Yuvraj Singh,Ms Dhoni,Kc Sangakkara,1986-11-27
12734,33598800119,335988,119,Joginder Sharma,10/23/1983,Right-hand Bat,Right-arm Fast-medium,India,Player,Chennai Super Kings,Kings Xi Punjab,2008,0,25,1,Blank,Blank,Ms Dhoni,Yuvraj Singh,Ms Dhoni,Kc Sangakkara,1983-10-23
12735,33598800120,335988,120,Ms Gony,1/4/1984,Right-hand Bat,Right-arm Medium,India,Player,Chennai Super Kings,Kings Xi Punjab,2008,0,24,1,Blank,Blank,Ms Dhoni,Yuvraj Singh,Ms Dhoni,Kc Sangakkara,1984-01-04
12736,33598800121,335988,121,M Muralitharan,4/17/1972,Right-hand Bat,Right-arm Offbreak,Sri Lanka,Player,Chennai Super Kings,Kings Xi Punjab,2008,0,36,1,Blank,Blank,Ms Dhoni,Yuvraj Singh,Ms Dhoni,Kc Sangakkara,1972-04-17
12737,33598800435,335988,435,P Amarnath,6/1/1982,Right-hand Bat,Right-arm Medium,India,Player,Chennai Super Kings,Kings Xi Punjab,2008,0,26,1,Blank,Blank,Ms Dhoni,Yuvraj Singh,Ms Dhoni,Kc Sangakkara,1982-06-01
12741,33598900087,335989,87,Mk Tiwary,11/14/1985,Right-hand Bat,Legbreak Googly,India,Player,Delhi Daredevils,Rajasthan Royals,2008,0,23,1,Blank,Blank,V Sehwag,Sk Warne,Kd Karthik,M Rawat,1985-11-14
12743,33598900089,335989,89,R Bhatia,10/22/1979,Right-hand Bat,Right-arm Medium-fast,India,Player,Delhi Daredevils,Rajasthan Royals,2008,0,29,1,Blank,Blank,V Sehwag,Sk Warne,Kd Karthik,M Rawat,1979-10-22
12744,33598900090,335989,90,Mf Maharoof,9/7/1984,Right-hand Bat,Right-arm Fast-medium,India,Player,Delhi Daredevils,Rajasthan Royals,2008,1,24,1,Blank,Blank,V Sehwag,Sk Warne,Kd Karthik,M Rawat,1984-09-07
12745,33598900118,335989,118,Gd Mcgrath,2/9/1970,Right-hand Bat,Right-arm Fast-medium,Australia,Player,Delhi Daredevils,Rajasthan Royals,2008,0,38,1,Blank,Blank,V Sehwag,Sk Warne,Kd Karthik,M Rawat,1970-02-09
12750,33598900031,335989,31,Yk Pathan,11/17/1982,Right-hand Bat,Right-arm Offbreak,India,Player,Rajasthan Royals,Delhi Daredevils,2008,0,26,0,Blank,Blank,Sk Warne,V Sehwag,M Rawat,Kd Karthik,1982-11-17
12752,33598900033,335989,33,M Kaif,12/1/1980,Right-hand Bat,Right-arm Offbreak,India,Player,Rajasthan Royals,Delhi Daredevils,2008,0,28,0,Blank,Blank,Sk Warne,V Sehwag,M Rawat,Kd Karthik,1980-12-01
12757,33598900038,335989,38,Sk Warne,9/13/1969,Right-hand Bat,Legbreak Googly,Australia,Captain,Rajasthan Royals,Delhi Daredevils,2008,0,39,0,Blank,Blank,Sk Warne,V Sehwag,M Rawat,Kd Karthik,1969-09-13
12759,33598900126,335989,126,Mm Patel,7/12/1983,Right-hand Bat,Right-arm Medium-fast,India,Player,Rajasthan Royals,Delhi Daredevils,2008,0,25,0,Blank,Blank,Sk Warne,V Sehwag,M Rawat,Kd Karthik,1983-07-12
12763,33599000046,335990,46,Rv Uthappa,11/11/1985,Right-hand Bat,Right-arm Medium,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,0,23,0,Blank,Blank,Harbhajan Singh,R Dravid,L Ronchi,Mv Boucher,1985-11-11
12765,33599000048,335990,48,Am Nayar,10/8/1983,Left-hand Bat,Right-arm Medium,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,0,25,0,Blank,Blank,Harbhajan Singh,R Dravid,L Ronchi,Mv Boucher,1983-10-08
12766,33599000049,335990,49,Sm Pollock,7/16/1973,Right-hand Bat,Right-arm Fast-medium,South Africa,Player,Mumbai Indians,Royal Challengers Bangalore,2008,0,35,0,Blank,Blank,Harbhajan Singh,R Dravid,L Ronchi,Mv Boucher,1973-07-16
12767,33599000050,335990,50,Harbhajan Singh,7/3/1980,Right-hand Bat,Right-arm Offbreak,India,Captain,Mumbai Indians,Royal Challengers Bangalore,2008,0,28,0,Blank,Blank,Harbhajan Singh,R Dravid,L Ronchi,Mv Boucher,1980-07-03
